CRITEO;48478624900066;484786249;62.02A;2019;41;75109
VIGILENS;48184501400028;481845014;62.02A;2019;03;69386
;39456526100051;394565261;62.02A;;;56100
TENOR;34502166100094;345021661;62.02A;;;44143
SPIE INFOSERVICES;32410382900895;324103829;62.02A;;;67152
;91060466900010;910604669;62.02A;;;44143
;91060465100018;910604651;62.02A;;;13201
;91060387700010;910603877;62.02A;;;13201
;91059871300014;910598713;62.02A;;;13201
;91059682400011;910596824;62.02A;;;95572
;91059411800010;910594118;62.02A;;;13201
;91059340900014;910593409;62.02A;;;79250
;91058869800019;910588698;62.02A;;;33063
;91058651000018;910586510;62.02A;;;44114
;91058536300013;910585363;62.02A;;;44069
;91058365700010;910583657;62.02A;;;13208
;91058345900011;910583459;62.02A;;;13206
;91057849100011;910578491;62.02A;;;92020
COURTES HARTERY CONSULTING;91057805300019;910578053;62.02A;;;13208
TRUSTABLE;91056835100019;910568351;62.02A;;;75102
;91056274300013;910562743;62.02A;;;91228
;91056234700013;910562347;62.02A;;;31263
;91056151300011;910561513;62.02A;;;76341
;91055969900012;910559699;62.02A;;;69387
;91055895600017;910558956;62.02A;;;69383
;91055824600013;910558246;62.02A;;;94076
;91055631500018;910556315;62.02A;;;75116
;91055569700010;910555697;62.02A;;;75118
;91055560600011;910555606;62.02A;;;78123
;91055376700013;910553767;62.02A;;;77401
;91055369200013;910553692;62.02A;;;93051
AD SERVICES;91055271000014;910552710;62.02A;;;95018
;91055167000011;910551670;62.02A;;;95252
LAURA MOREIRA;91054482400014;910544824;62.02A;;;31248
ARMOR NUMERIK;91054292700017;910542927;62.02A;;;22210
XPERTC;91053917000019;910539170;62.02A;;;95018
ALV SOLUTION;91053777800011;910537778;62.02A;;;92051
;91053380100015;910533801;62.02A;;;83116
;91066932400014;910669324;62.02A;;;93027
;91066910000018;910669100;62.02A;;;78005
;91066829200014;910668292;62.02A;;;95607
;91066815100012;910668151;62.02A;;;92026
;91066720300012;910667203;62.02A;;;94017
;91066656900017;910666569;62.02A;;;92050
MON ARTISAN DU NET;91066480400010;910664804;62.02A;;;77037
;91065996000017;910659960;62.02A;;;69034
KINDLYBUILT;91065625500015;910656255;62.02A;;;75108
IB CONSULTING;91065481300013;910654813;62.02A;;;92020
AGURTEC;91063129000012;910631290;62.02A;;;95428
BI DU PASSE;91063098700014;910630987;62.02A;;;95351
MANDO IT;91063021900012;910630219;62.02A;;;13087
DATAENG;91063017700012;910630177;62.02A;;;94028
CYBERALLEY CONSULTING;91062996300018;910629963;62.02A;;;95197
;91062039200019;910620392;62.02A;;;92026
TNETWORKCLASS;90828201500027;908282015;62.02A;;;94077
;90211258000029;902112580;62.02A;;;13205
;89914107100022;899141071;62.02A;;;75115
;89316101800021;893161018;62.02A;;;78208
;88249456000023;882494560;62.02A;;;51108
LOG;84945875700028;849458757;62.02A;;;75103
;84296026200025;842960262;62.02A;;;91114
GP TECHNOLOGIES;83968224200020;839682242;62.02A;;;78146
ECHO REPAIR;83301956500039;833019565;62.02A;;;72181
;81786649400021;817866494;62.02A;;;69034
ACCEIS;81356979500038;813569795;62.02A;;;35238
;80063132700023;800631327;62.02A;;;92062
;53994996600045;539949966;62.02A;;;35068
;53425970000035;534259700;62.02A;;;56260
FINUP;53166800200037;531668002;62.02A;;;78015
IPSICOM;52891211600076;528912116;62.02A;;;59350
CPR   CONSEIL PERFORMANCE RETAIL;51837794000037;518377940;62.02A;;;92012
;51204722600042;512047226;62.02A;;;38185
;50773485300033;507734853;62.02A;;;75111
ALLO BRENNE INFORMATIQUE;49492645400021;494926454;62.02A;;;36018
DIGICAST;91052647400010;910526474;62.02A;;;59368
;91052188900014;910521889;62.02A;;;13201
MB CONSULTING;91052171500011;910521715;62.02A;;;94022
;91052155800015;910521558;62.02A;;;13201
ORIA CONSEIL;91052138400016;910521384;62.02A;;;92040
DARKWOOD TECHNOLOGIES FR;91052035200014;910520352;62.02A;;;75108
;91051811700015;910518117;62.02A;;;75103
;91051781200012;910517812;62.02A;;;75106
;91051779600017;910517796;62.02A;;;75111
;91051701000013;910517010;62.02A;;;75113
;91051681400019;910516814;62.02A;;;13201
LIQWEE CONSULTING;91051654100018;910516541;62.02A;;;91434
;91051604600018;910516046;62.02A;;;77108
;91051470200018;910514702;62.02A;;;77014
ACLDM CONSEIL;91051467800010;910514678;62.02A;;;93051
;91051459500016;910514595;62.02A;;;94041
COLUMBA CONSULTING;91051429800017;910514298;62.02A;;;75108
;91051414000011;910514140;62.02A;;;66028
NEWDEY;91051271400015;910512714;62.02A;;;75104
DOUCTECH;91051068400012;910510684;62.02A;;;93008
;91050968600010;910509686;62.02A;;;59339
;91050935500012;910509355;62.02A;;;69387
BEINCLOUD;91050405900015;910504059;62.02A;;;75108
ENAS;91049914400012;910499144;62.02A;;;25462
KALAYAN CONSULTING;91049829400016;910498294;62.02A;;;44190
;91049794000015;910497940;62.02A;;;13201
;91049369100018;910493691;62.02A;;;68224
;91048053200019;910480532;62.02A;;;13209
DIGITALEO;91048037500013;910480375;62.02A;;;78358
FONGUES;91048003700019;910480037;62.02A;;;34172
SERIOUSLAB;91048001100014;910480011;62.02A;;;75108
BENSLEY.AI;91039634000010;910396340;62.02A;;;94016
LPCHCONSEILS;91039517700017;910395177;62.02A;;;94046
SYNAKO;91039413900018;910394139;62.02A;;;92009
DATA SAMPLEX;91039277800015;910392778;62.02A;;;92063
;91039074900018;910390749;62.02A;;;22240
SPARKLING DIGITAL;91038883400012;910388834;62.02A;;;77268
GYST PARTNERS;91038820600013;910388206;62.02A;;;75109
;91038634100010;910386341;62.02A;;;17300
;91038385000013;910383850;62.02A;;;94018
SLL CONSEIL;91038262100019;910382621;62.02A;;;91600
PRESTO SERVICES;91038180500019;910381805;62.02A;;;92050
